2019-04-21 20:56:03,644 [Worker-5: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-21 21:00:35,839 [Worker-6: Importing Maven projects] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.xhjc:ssm-crud:0.0.1-SNAPSHOT @ D:\git_sources\CaseCode\ssm-rest\pom.xml.
2019-04-21 21:00:41,785 [Worker-6: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ssm-rest/src/main/java
2019-04-21 21:00:41,786 [Worker-6: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ssm-rest/src/main/resources
2019-04-21 21:00:41,792 [Worker-6: Importing Maven projects] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ssm-rest/src/test/java
2019-04-21 21:00:45,232 [Worker-6: Importing Maven projects] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 13 sec
2019-04-21 21:00:55,477 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:00:55,482 [Worker-21: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2019-04-21 21:00:55,602 [Worker-21: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:00:55,606 [Worker-21: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\git_sources\CaseCode\ssm-rest\src\test\resources
2019-04-21 21:02:38,937 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:02:38,943 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2019-04-21 21:02:38,952 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:02:38,954 [Worker-20: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\git_sources\CaseCode\ssm-rest\src\test\resources
2019-04-21 21:02:38,958 [Worker-20: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ssm-rest
2019-04-21 21:02:38,961 [Worker-20: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ssm-rest
2019-04-21 21:02:39,236 [Worker-20: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:02:39,474 [Worker-14: Launching Executing install in D__git_sources_CaseCode_ssm-rest] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\git_sources\CaseCode\ssm-rest
2019-04-21 21:02:39,475 [Worker-14: Launching Executing install in D__git_sources_CaseCode_ssm-rest] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -s D:\.m2\settings.xml install
2019-04-21 21:04:04,668 [Worker-18: Validation] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:04:04,678 [Worker-18: Validation] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2019-04-21 21:04:04,709 [Worker-18: Validation] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:04:04,711 [Worker-18: Validation] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\git_sources\CaseCode\ssm-rest\src\test\resources
2019-04-21 21:04:12,937 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-04-21 21:04:21,829 [Worker-16: Validation] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:04:21,832 [Worker-16: Validation] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2019-04-21 21:04:21,886 [Worker-16: Validation] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-21 21:04:21,888 [Worker-16: Validation] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\git_sources\CaseCode\ssm-rest\src\test\resources
